Centro,Almacén,Material,Producto,Stock,Control_Calidad,Bloqueado,En_Transito,Pallet,Camion
TODOS,TODOS,920100670,JUREL FIL NATURAL PRINCES 125G EU,141435,0.0,0,0.0,33.84,1.71
TODOS,TODOS,920100669,JUREL FIL TOM PICANTE PRINCES 125G EU,78455,0.0,0,0.0,18.77,0.93
